Description,Classificació,Classificació_01,Classificació_02
Hi haurà batalla pel lideratge de Podem a la Comunitat Valenciana Hui la síndica dUnides Podem Naiara Davó ha anunciat en Les notícies del matí que es presentarà a la secretaria general de la formació morada Ha ha deixat la mà oberta perquè sintegre en la seua candidatura la diputada Pilar Lima que ja havia anunciat que es presentaria a liderar Podem Però Lima sha refermart en la intenció de disputar el lideratge a Naiara Davó,POLÍTICA,POLÍTICA,
Ja hem passat per Gandia i Peníscola dos ciutats que encenten hui la desescalada a la Comunitat Valenciana Recordem cóm queda a colp dull el nostre mapa en este procés dincorporació a la normalitat municipis on viuen més dun milió i mig de persones el de la població valenciana avancen a la fase Per contra quasi tres milions i mig un es quedaran en la fase I és que els departaments de salut on sinclouen les ciutats més poblades Castelló València i Alacant i les seues àrees metropolitanes es queden en la fase zero Per tant passa de fase làrea de salut de Vinaròs que és lúnica de les comarques del nord També ho fa Requena les comarques centrals la Marina Baixa Elda i el Baix Segura Finalment també entra en la fase el Racó dAdemús En total UN TERÇ DE LA POBLACIÓ VALENCIANA A LA FASE,MEDICINA I SANITAT,MEDICINA I SANITAT,
Lalcalde de València ha llevat ferro hui a la polèmica arran de la concentració de gent dahir a les portes de la basílica de la Mare de Déu Recordem que vora fidels es van reunir a la plaça amb motiu de la festivitat de la patrona i que i larquebisbat va traure la imatge fins a lentrada del temple Diu Ribó que no veu una aglomeració important de persones en tot cas no era superior a la que es podia registrar en altres llocs de València com als parcs LALCALDE NO VEU AGLOMERACIÓ A LA BASÍLICA,MEDICINA I SANITAT | FESTES I TRADICIONS,MEDICINA I SANITAT,FESTES I TRADICIONS
Un de la població valenciana es manté hui dilluns en la fase La Generalitat continua reclamant a estes hores un informe al Ministeri que explique els motius desta decisió Però este document no arriba Fernando Simón coordinador demergències sanitàries ha passat la pilota al Ministeri este matí assegurant que ell sí que va lliurar el document que explicaria el perquè la Comunitat Valenciana en la seua totalitat no ha passat a la fase La consellera demanarà explicacions en una reunió interterritorial esta vesprada amb el ministre de Sanitat La Generalitat critica la decisió del govern espanyol de no passar la totalitat de la Comunitat Valenciana a la fase i esta vesprada demarà explicacions Ho farà la consellera de Sanitat en la reunió interterritorial amb el ministre de Sanitat La Generalitat insistix que complix tots els requisits que demanava el Ministeri de Sanitat i reclama un informe per escrit amb els motius que lhan deixada encallada en la fase que encara no ha arribat Un informe que segons el director dEmergències Sanitàries no hi ha cap problema que siga públic TALL SIMÓN nosotros somos los responsables de hacer el informe y la decisión se toma a nivel ministro Entiendo que en algún momento se harán públicos TALL PUIG sols paraules els factors asociacts a la transmisició de lepidemia són els que justifiquen que no pase La decisió del Ministeri dautoritzar el salt a la fase daltres comunitats amb pitjors indicadors com el País Basc també ha causat malestar entre altres líders autonòmics com landalús Un malestar que augmenta en saber que una vegada aconseguit el pas a la fase el País Basc ha decidit retallar les seues possibilitats de mobilitat TALL SIMÓN Euskadi estaba para pasar a la fase si luego a nivel autónomico han decidido hac,POLÍTICA,POLÍTICA,
Pel que fa a levolució de lepidèmia a la Comunitat Valenciana les últimes dades revelen que la incidència continua sent baixa En les últimes hores hi ha hagut nous contagis notificats per proves PCR i per tests ràpids A més persones han perdut la vida i això eleva el total de morts a des que va començar la crisi sanitària Daltra banda malalts es van recuperar ahir del virus Dos detalls més que confirmen lestabilització de lepidèmia són que no hi ha hagut cap nou ingrés a les UCI i només hi ha hagut una nova hospitalització en tota la Comunitat Valenciana,MEDICINA I SANITAT,MEDICINA I SANITAT,
Tot i les paraules de lalcalde la Policia Local ha elevat una proposta de denúncia en considerar que no shaurien complit les mesures de seguretat La delegada del govern espanyol a la Comunitat Valenciana Gloria Calero diu que estan esperant linforme policial però apel·la a la prudència i la responsabilitat,JUSTÍCIA I ORDRE  PÚBLIC,JUSTÍCIA I ORDRE  PÚBLIC,
En altres departaments de la Comunitat Valenciana hui els comerços han pogut obrir Això sí respectant totes les mesures de seguretat A les comarques del nord han sigut només els municipis adscrits al Departament de Salut de Vinaròs,SOCIETAT,SOCIETAT,
Pel que fa a levolució de lepidèmia a la Comunitat Valencia les últimes dades revelen que la incidència continua sent baixa En les últimes hores hi ha hagut nous contagis notificats per proves PCR i per tests ràpids Tambe hi ha persones que han perdut la vida i això eleva el total de morts a des que va començar la crisi sanitària A més persones es van recuperar ahir de la malaltia Dos detalls més que confirmen lestabilització de lepidemia són que no hi ha hagut cap nou ingrés a les UCI i només hi ha hagut una nova hospitalitzacó a tota la Comunitat Valenciana lepidèmia continua estabilitzant se,MEDICINA I SANITAT,MEDICINA I SANITAT,
Polèmiques entre administracions a banda en el que tots coincideixen és en la gran importància que a partir dara van a tindre els centres datenció primària Estos centres van a ser la primera línia de lluita contra lepidèmia però algunes veus alerten que no estan ben preparats per a esta nova fase,MEDICINA I SANITAT,MEDICINA I SANITAT,
TALL PUIG LA COMUNITAT VALENCIANA NO HA SUSPÉS CAP EXAMEN NI HA FET RES MAL Un extens informe de la Generalitat que és públic detalla les mesures que shan pres seguint les indicacions exigides pel govern dEspanya per a passar a la fase De moment sense aconseguir ho i sense una resposta convincent TALL PUIG pàgines i no tenim ni una resposta Sols amb paraules els factors associats a la transmissió de lepidèmia són els que justifiquen que la Comunitat Valenciana en el seu conjunt no passe a la fase Un criteri que no shavia inclòs dahí que Puig demane claredat a lhora destablir les regles del joc TALL PUIG la cogovernança exigix transparència reciprocitat i regles objectives El que no ens agradarie és que sens donaren les explicacions per píndoles El que es pot fer és canviar les regles de joc a meitat del partit és que això no es pot fer Una desescalada que ha frenat la represa de lactivitat de milers dempresaris i autònoms que ja havien adaptat els seus negocis a la fase TALL PUIG I VULL DEMANAR LOS DISCULPES I COMPARTIR EL SEU MALESTAR PERQUÈ SHAGEN VIST FRUSTRADES ESTA SETMANA LES EXPECTATIVES QUE TENIEN Des de la prudència Pu,POLÍTICA,POLÍTICA,
Més coses la plaça de lAjuntament de València és des de hui només per a lús dels vianants i del transport públic La primera fase allibera mil metres quadrats per al passeig de vianants i tanca el trànsit privat que només hi podrà accedir per un carril des del carrer del Marqués de Sotelo cap al carrer de Roger de Llúria Canvis també en el recorregut dalgunes línies de lEMT com la C que funcionarà com a intercanviador Quan la ciutat passe a la fase de desescalada les terrasses podran muntar se a la calçada per a deixar lliures les voreres També es col·locaran mil jardineres per a evitar laccés de vehicles no autoritzats Primera fase de conversió en zona de vianants,URBANISME I HABITATGE,URBANISME I HABITATGE,
Ni Falles al juliol ni a loctubre Eixa és la conclusió duna enquesta feta pels delegats de sectors a les comissions de la ciutat de València Tot i no ser una consulta oficial comissions falleres hi han participat i en el resultat destaca la negativa de celebrar unes Falles reduïdes en els pròxims mesos Preferixen guardar les falles i plantar les al març del Una opinió no vinculant però que sembla que podria avançar la decisió del consistori que estava prevista per a mitjants de juny LES COMISSIONS VOLEN AJORNAR LES FALLES AL,FESTES I TRADICIONS,FESTES I TRADICIONS,
Mentrestant a les comarques del nord el xicotet comerç dels municipis adscrits al departament de salut de Vinaròs que han passat a la fase ja han pogut rependre lactivitat En el cas de Vinaròs este matí s´han pogut vore fins i tot cues per aa accedir a alguns comerços Més del de les botigues han obert després de condicionar els locals i pendre totes les mesures necessàries per a garantir la seguretat de la clientela OBRIN MÉS DEL DELS COMERÇOS,"ECONOMIA, COMERÇ I FINANCES","ECONOMIA, COMERÇ I FINANCES",
Bon Dia La Generalitat continua esperant la resposta per escrit del Ministeri de Sanitat que explique les raons per les quals no tota la Comunitat Valenciana ha passat hui a la fase de la desescalada Este matí segons ha confirmat la Conselleria de Sanitat tampoc hi ha prevista cap videoconferència entre els responsable sanitaris del Consell i els del govern espanyol per abordar la qüestió Serà esta vesprada quan la consellera Ana Barceló i el ministre Salvador Illa es tornen a vore No serà una reunió bilateral sinó una trobada en el marc de la Interterritorial de Sanitat que reunix els representants de totes les comunitats autònomes amb lequip ministerial Barceló demanarà més explicacions al ministre,MEDICINA I SANITAT,MEDICINA I SANITAT,
Les comarques centrals el Baix Maestrat i el Baix Segura són els territoris valencians que des deste dilluns assatgen com serà la vida en la fase de la desescalada Es reactiva poc a poc la vida social en departaments de salut on viu la tercera part de la població de la Comunitat Valenciana Podran reunir se amb familiars o amistats en grups de fins a persones com a màxim i sempre mantenint les distàncies de seguretat També podran anar a les segones residències sempre i quan estiguen en el mateix departament de salut COM SON LES REUNIONS EN LA FASE DESESCALADA,SOCIETAT,SOCIETAT,
Fins ací les normes I què està passnt al carrer Este matí hem estat a Gandia A la Safor sha tornat a veure una imatge que feia mesos que no es donava la de les terrasses dels bars i les cafeteries disponibles al i amb els primers clients Els que han decidit obrir asseguren que era necessari per a salvar el negoci i que ho han fet complint amb totes les mesures de seguretat Terrasses obertes a Gandia,TURISME,TURISME,
Daci a uns pocs minuts a la una es firma al Palau de la Moncloa lAcord social en defensa de locupació Este acord permet ampliar fins al de juny els ERTO amb la possibilitat de prorrogar los més enllà si continuen les restriccions dactivitat per raons sanitàries El president del govern espanyol Pedro Sánchez presidirà lacte Assistixen els vicepresidents Pablo Iglesias i Nadia Calviño; la ministra de Treball Yolanda Díaz i els representants dUGT CCOO CEOE i CEPYME ES FIRMA EL PACTE PER A ALLARGAR ELS ERTO,TREBALL,TREBALL,
El Partit Popular ha demanat la compareixença urgent del president de la Generalitat a les Corts També la demana Ciutadans Loposició qüestiona la capacitat de la Conselleria de Sanitat de fer tests i acusa el Consell de mentir per dir que les proves de PCR no comptaven per a passar de la fase a la fase Els grups del Botànic posen en valor la transparència que ha mostrat el Consell en fer públic linforme que va enviar al govern espanyol i demanen al Ministeri de Sanitat que faça el mateix Loposició demana la compareixença urgent de Puig,POLÍTICA,POLÍTICA,
Nova baixada de nous casos i de defuncions a tot Espanya com a consequencia del coranavirus Segons les dades del Centre dAlertes i Emergències Sanitàries en les útlimes hores els nous contagis notificats per PCR només són mentre que les morts baixen fins a les En sis comunitats autònomes no sha produit cap defunció Pel que fa a les altes són pràcticament un miler de persones Amb estes dades el balanç global dinfectats a Espanya es manté lleugerament per damunt de les persones mentre que les morts superen les Malgrat les dades positives des del centre dalertes i emergències sanitàries asseguren que davant el rebrot en països com Alemanya o Corea del Sud no podem baixar la guàrdia MORTS I NOUS CONTAGIS BAIXEN A TOT ESPANYA,MEDICINA I SANITAT,MEDICINA I SANITAT,
El lideratge de Podem a la Comunitat Valenciana sel disputaran el mes que ve dos dones La síndica de la formació a les Corts Naiara Davó es presentarà com a candidata a la secretaria general del partit Ho ha confimat en una entrevista a Les notícies del matí on ha estés la mà a la diputada Pilar Lima per a integrar se en una candidatura conjunta Però Lima que ja havia anunciat la candidatura ha respost fa uns minuts que vol liderar el seu primer projecte,POLÍTICA,POLÍTICA,
Per què la Comunitat Valenciana no va passar completa a la fase u Després de la reunió dahir entre la Conselleria i el Ministeri continua sent una incògnita ILLA La decision se toma en base a criterios tecnicos yde mucha prudencia BARCELÓ no conocíamos los criterios ni teniamos informe por escrito ILLA Se explicaron desde el primcipio Sobre els criteris la discrepància és evident BARCELÓ Nos dijeron que era LA MOVILIDAD ese criterio no lo contemplanban IILA yo no voy a aentrar en polémicas Ara tant la conselleria com el ministeri diuen que les relacions són bones ILLA COGOBERNANZA BARCELÓ Illa se ha comprometido a darnos los criterios Significa això que la setmana que ve tindríem ja tot el territori en la fase La consellera no contestat però este matí ha sigut Fernando Simón el que shi ha referit TALL SIMON EN LOS PRÒXIMS DIES,MEDICINA I SANITAT | POLÍTICA,MEDICINA I SANITAT,POLÍTICA
La incidència continua a la baixa En les últimes hores shan detectat nous contagis per PCR la xifra total de casos detectats amb este mètode ascendix a Ara mateix hi ha casos actius Shan registrat sis defuncions en les últimes hores quatre de les quals són de residents en centres de majors Des que va començar la crisi sanitària han mort persones diagnosticades amb el virus Les altes ja superen les persones curades; i persones shan recuperat del virus dahir a hui,MEDICINA I SANITAT,MEDICINA I SANITAT,
De la xifra global de casos positius destaquem hui els quasi infermers i infermeres que shan infectat ajudant a frenar lepidèmia Precisament hui se celebra el Dia Internacional de la Infermeria una jornada en què hem de lamentar la mort per coronavirus duna infermera de lhospital dAlcoi La mort desta professional i les reivindicacions del col·lectiu protagonitzen el dia en què a pesar de tot mostren amb orgull la seua vocació Una mort que es produïx en un dia que havia de ser de celebració i ho és més de reivindicació I així i tot els queden forces per a posar en valor la seua professió Este grup dinfermers i infermeres de lHospital Clínic de València ens conten que estan cansats que moltes vegades senten por i parlen de lalt cost personal que du aparellada la crisi sanitària Infermeres i infermers en primera línia que hui celebren amb llums i ombres el dia de la seua professió,MEDICINA I SANITAT,MEDICINA I SANITAT,
I ara escolten estes paraules És Pilar Ventura la consellera de Sanitat dAragó que afirmava dissabte passat davant les crítiques per falta de material que per als sanitaris era tot un estímul fabricar se ells mateixos els equips de protecció contra el coronavirus Unes declaracions que indignaren el col·lectiu de metges i infermeres que immediatament li van demanar que dimitira Ahir i hui shavien convocat cinc minuts de silenci en hospitals i centres de salut en senyal de protesta Esta vesprada Pilar Ventura ha dimitit DIMITIX LA CONSELLERA DE SANITAT DARAGÓ,POLÍTICA,POLÍTICA,
La comunicacio fluida es un requisit de Ciutadans per al vot favorable de la quarta prorroga de lestat dalarma,POLÍTICA,POLÍTICA,
Abans dacabar els recordem que la Comunitat Valenciana tornarà a demanar per carta al Ministeri este mateix matí que els departaments de salut valencians que continuen en fase puguen avançar a la el pròxim dilluns Això sí la petició de la Conselleria de Salut Universal que es basarà en linforme i les dades presentades la setmana passada inclourà dos excepcions primera que en cap departament es puguen celebrar actes culturals o festius de més de persones i segona que en un únic departament tampoc hi puga haver contacte social de fins a persones No ha dit de quina àrea de salut es tracta perquè primer vol anunciar ho als ajuntaments afectats,MEDICINA I SANITAT,MEDICINA I SANITAT,
El Tribunal Suprem confirma larxivament de la causa de les preferents de la CAM Era la peça separada que investigava els exdirectors generals de la Caixa dEstalvis del Mediterrani Roberto López Abad i María Dolores Amorós per pressumptes irregularitats en la venda dun producte bancari El recurs lhavia interposat lAssociació de Consumidors de Banca Adicae després que les acusacions particulars es retiraren al juliol del La CAM va arribar a captar milions deuros amb les diferents emissions de participacions preferents que va vendre als clients minoristes EL SUPREM CONFIRMA LARXIVAMENT DE LES PREFERENTS,JUSTÍCIA I ORDRE  PÚBLIC,JUSTÍCIA I ORDRE  PÚBLIC,
Europa busca fórmules per intentar pal·liar limpacte negatiu del coronavirus sobre la campanya turística deste estiu La Comissió Europea presenta este dimecres un pla dacció que planteja obrir corredors de viatgers entre diferents països Espanya estudia pactar amb Itàlia França el Regne Unit i Alemanya en quines condicions es podrien reempendre els vols entre els aeroports La ministra dIndústria Comerç i Turisme Reyes Maroto ha apuntat esta setmana la necessitat destablir un mateix protocol europeu mentre dure la pandèmia EUROPA PACTA CORREDORS TURÍSTICS PER A LESTIU,TURISME | TRANSPORTS I COMUNICACIONS,TURISME,TRANSPORTS I COMUNICACIONS
Com els hem contat a linici deste avanç informatiu a primera hora desta vesprada sha convocat una reunió entre lAjuntament de València i els representants de la festa i els artistes fallersper a decidir què fer amb les Falles denguany A la reunió sarriba sense una opinió unànime Alacant ja va suspendre ahir les Fogueres que en principi havia ajornat al setembre La decisió es va pendre després duna votació entre les comissions I Castelló que no havia posat data encara a les festes de la Magdalena també va anunciar que traslladava tot el calendari festiu al Ara sanalitza limpacte econòmic que tindran estes decisions A Alacant els artistes foguerers preveuen el tancament de molts tallers mentre que a Castelló lAjuntament vol dinamitzar els sectors que treballen al voltant de la festa SE SUSPENEN LES FESTES DE CASTELLÓ I ALACANT,FESTES I TRADICIONS,FESTES I TRADICIONS,
Agre enfrontament en la sessió de control al Congrés entre el diputat de COmpromís Joan Baldoví i la ministra dHisenda pel finançament de la Comunitat Valenciana i el repartiment del fons de milions deuros Baldoví ha demanat més diners per a la comunitat valenciana i Montero li ha retret que antepose els seus interesos en funció de la situació valenciana i que embolique amb problemes inexistents,POLÍTICA,POLÍTICA,
Compromís no votarà a favor duna nova pròrroga de lestat dalarma El desencadenant desta falta de suport sha produït este matí al Congrés dels Diputats on Joan Baldoví i la ministra dHisenda Maria Jesús Montero shan encarat pel problema estructural que arrossega la Comunitat Valenciana i que amb la crisi sanitària sha agreujat linfrafinançament Esta vesprada decidiran si voten en contra o shi abstenen,POLÍTICA,POLÍTICA,
ENTRADETA DE SEGURETAT La consellera de Sanitat Ana Barceló es reunirà en les pròximes hores amb el ministre Salvador Illa per a analitzar la proposta que tota la Comunitat Valenciana avance a la fase dilluns que ve Barceló ha explicat que planteja que a la Ribera no es puguen fer reunions de fins a persones per prudència no per estigmatitzar ningú En els últims dies en esta àrea de salut sha registrat un augment de casos En lúltima setmana shan detectat contagis nous en làrea de salut de la Ribera Eixe és el motiu que ha donat la consellera de Sanitat per a explicar la prohibició de fer reunions de fins a persones en este departament tot i proposar que passe a la fase com la resta dàrees que continuen en la fase La consellera no ha volgut concretar si ha sigut una única localitat de la Ribera on sha detectat el focus de contagi TALL BARCELÓ los técnicos han decidido que era necesario controlar este brote y hacer un seguimiento Una decisió que part del veïnat de la zona considera arbitrària i que compara amb la del Ministeri de Sanitat quan va impedir que departaments de salut del territori passaren a la fase mentre autoritzava lavanç daltres comunitats amb pitjors indicadors TALL BARCELÓ la ribera pasa completa a la fase no se puede comparar que una comunidad no pase a la fase con una sola medida que no se puede aplicar pero se aploicarà en los pròximos dias Pel que fa a laplicació desta restricció en casos concrets com per exemple seure en la terrasa dun bar la consellera ha explicat que les persones que conviuen poden fer ho TALL BARCELÓ en las terrazas se pueden sentar las familias las personas que conviven En la reunió que la consellera mantindrà hui amb el ministre Illa Barceló també li traslladarà la proposta dampliar la franja horària perquè,MEDICINA I SANITAT,MEDICINA I SANITAT,
Per la seua part la ministra dEducació Isabel Celaá ha explicat que treballaran amb les comunitats autònomes en els diferents escenaris que es plantegen amb vista al pròxim curs escolar,ENSENYAMENT,ENSENYAMENT,
També els pediatres shan pronunciat sobre este tema De fet lAssociació Espanyola de Pediatria ha publicat que lalumnat deducació infantil hauria de ser lúltim a tornar a les aules En un informe considera precipitat que estos xiquets i xiquetes tornen a escola abans de setembre o octubre De fet per a esta societat de pediatres els primers a tornar al centres educatius haurien de ser els majors de anys que ja poden respectar les mesures de seguretat i no els més menuts que no entenen el risc de contagi ELS PEDIATRES VEUEN LA TORNADA PRECIPITADA,ENSENYAMENT | MEDICINA I SANITAT,ENSENYAMENT,MEDICINA I SANITAT
I acabem com hem començat este avanç Amb Educació perquè conselleries es coordinen en lOperació Pau per a garantir tots els protocols de seguretat que shauran de complir en les proves daccés a la universitat La Generalitat ha establit un dispositiu especial per a assegurar la igualtat doportunitats de tots els estudiants Es treballa per a dotar los de material de protecció i per a establir quina haurà de ser locupació màxima de les aules Estos exàmens que tindran lloc entre el i el de juliol es faran en instituts i centres de batxillerat de la Comunitat Valenciana DISPOSITIU ESPECIAL PER A LES PAU,ENSENYAMENT,ENSENYAMENT,
Compromís no votarà a favor de la nova pròrroga de lestat dalarma que es durà al Congrés dels Diputas dimecres Ho ha anunciat el diputat Joan Baldoví Argumenta que el motiu és el repartiment del fons reembossable de euros que és diu injust cap a la Comunitat Valenciana Compromís posa a més damunt de la taula tres requisits per a revertir el seu vot desfavorable,POLÍTICA,POLÍTICA,
Com els hem explicat a linici deste avanç informatiu la decisió de fer una excepció amb el departament de La Ribera a lhora de demanar el pas a la fase de tota la Comunitat Valenciana està generant crítiques des dalguns ajuntaments de les dos comarques afectades Per la seua part la síndica del Partit Popular Isabel Bonig ha assegurat que esta decisió demostra que la reversió de lHospital de la Ribera ha sigut un fracàs Segons Bonig les restriccions que imposa el Consell a la Ribera posen en evidència que la Conselleria de Sanitat no garanteix la seguretat en esta àrea de salut,POLÍTICA,POLÍTICA,
A banda de la proposta valenciana el Ministeri de Sanitat també ha de valorar abans de demà les peticions daltres comunitats A priori Madrid la comunitat presidida per la popular Isabel Díaz Ayuso és la que presenta majors dificultats per a passar de fase,MEDICINA I SANITAT,MEDICINA I SANITAT,
Abans dacabar els contem que des de bon matí una nova borrasca ens està deixant pluges generalitzades de sud a nord puntualment fortes o molt fortes i acompanyades de tempesta Les quantitats més destacables fins ara afecten la Ribera amb litres per metre quadrat a Càrcer i a Benifaió A la Plana Alta a Borriol shan registrat prop de litres i se nhan recollit una vintena a la ciutat dAlacant A València en porten vora LAgència Estatal de Meteorologia manté actiu lavís groc fins a les de la vesprada en previsió de pluges que puguen acumular més de litres per metre quadrat en una hora,FENÒMENS NATURALS,FENÒMENS NATURALS,
